商品名,评论内容,评论时间
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        抛开别的不说，买完就降价，现在还送存储卡！找客服想着帮我补一张存储卡，结果人家说帮不了我。买到就是亏，你永远不知道过个35天它会是什么价格。真的
                                                        ",2018-10-04 11:20:06
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        没有为什么，就是因为拿到货没注意这标签里面还有一个，而且已经被开封，问客服，说是物流搞得……但愿吧，用几天试试看。
                                                        ",2018-09-19 17:10:13
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        充电器是拆过的
                                                        ",2018-08-20 20:27:55
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        今天的收货的过程很是不愉快，过程已在对快递员的评价中写过，大家一定查看！老牛了，她可以无视所有员工的心血，因为不想送货上门，随便可以退货！牛吧！我现在在担心我的相机有没有被@%过，是没开封的，验货没有电了，开机看下快递员就走了！回到家发现镜头里有小灰，等我充上电，内存卡到了试一下，没事还好说，有事，这事就没完！盒子上的宣传语很好看，实际完全没有做到。希望苏宁的高层可以看到，这样的服务做不好，很容易被对手抢先一步。为什么海底捞这么火，是它的东西好吃吗？不是而是人家的每一个环节都是推心置腹的，真心为顾客着想的。人家才会越做越大。乃至全球都有连锁。今天发这些并不是就我这有这样的情况，想必很多地方都有这样的情况发生。你们作为领导不要天天想着怎么便宜达到自己的目标，而是管理好基层服务，让大家买东西就想到苏宁的服务质量好。价格实惠。真心的祝愿近东哥生意能越来越好吧！@苏宁管理层。
                                                        ",2018-08-15 00:49:45
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        不好
                                                        ",2018-08-14 15:26:56
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        苏宁真的是在玩文字游戏，来欺骗我们消费者真的好吗
                                                        ",2018-06-17 23:04:55
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        买来一礼拜不到就降价了？？？
                                                        ",2018-06-01 12:35:19
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        售前客服严重误导消费者，买相机的时候特地问了有没有赠品，客服把赠品和清单全部都发给我了，在我下单收货后才发现并没有赠品，客服回答送完了，送完了给我提示了没？？不知道现在都是货比三家？你送完了你不说我***怎么比？这不是诱导消费者？强烈谴责无良商家，说不定根本就没有赠品，只是欺骗消费者的噱头罢了！千万别再苏宁上买。
                                                        ",2018-05-12 16:00:36
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        我现在已经无力吐槽，明明镜头有问题换了一个还有问题，我只想用这个东西想着也不是苏宁的问题那就拒收在换一个吧，没想到客服直接给我弄个无理由拒收退款我是无理由拒收么？还跟我说她自己点了改不掉我只能退货，也是可以的耽误了用不说吧还弄的我玩一样呵呵了。这个一星的服务也是给最后的这个客服了其实之前的包括自取时店里的都很好。
                                                        ",2018-05-08 18:12:19
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        刚买完几天就降价，申请退差价，还说有赠品，不退差价，开是你便宜后也一样有赠品呀
                                                        ",2018-04-18 11:47:48
